date,venue,race_no,race_id,start_at,close_at,source_url,schedule_fetched_at_jst
2026-08-19,大垣,10,104420260819,1787119380,1787119080,https://www.winticket.jp/keirin/ogaki/racecard/2026081744/3/10,2026-08-19T06:59:03+09:00
2026-08-19,立川,10,102820260819,1787119980,1787119680,https://www.winticket.jp/keirin/tachikawa/racecard/2026081728/3/10,2026-08-19T06:59:03+09:00
2026-08-19,高知,11,117420260819,1787120700,1787120400,https://www.winticket.jp/keirin/kochi/racecard/2026081874/2/11,2026-08-19T06:59:03+09:00
2026-08-19,大垣,11,114420260819,1787121360,1787121060,https://www.winticket.jp/keirin/ogaki/racecard/2026081744/3/11,2026-08-19T06:59:03+09:00
2026-08-19,立川,11,112820260819,1787121780,1787121480,https://www.winticket.jp/keirin/tachikawa/racecard/2026081728/3/11,2026-08-19T06:59:03+09:00
2026-08-19,川崎,1,013420260819,1787122200,1787121900,https://www.winticket.jp/keirin/kawasaki/racecard/2026081934/1/1,2026-08-19T06:59:03+09:00
2026-08-19,高知,12,127420260819,1787122620,1787122320,https://www.winticket.jp/keirin/kochi/racecard/2026081874/2/12,2026-08-19T06:59:03+09:00
2026-08-19,四日市,1,014820260819,1787123040,1787122740,https://www.winticket.jp/keirin/yokkaichi/racecard/2026081748/3/1,2026-08-19T06:59:03+09:00
2026-08-19,川崎,2,023420260819,1787123520,1787123220,https://www.winticket.jp/keirin/kawasaki/racecard/2026081934/1/2,2026-08-19T06:59:03+09:00
2026-08-19,大垣,12,124420260819,1787123940,1787123640,https://www.winticket.jp/keirin/ogaki/racecard/2026081744/3/12,2026-08-19T06:59:03+09:00
2026-08-19,四日市,2,024820260819,1787124360,1787124060,https://www.winticket.jp/keirin/yokkaichi/racecard/2026081748/3/2,2026-08-19T06:59:03+09:00
2026-08-19,川崎,3,033420260819,1787124960,1787124660,https://www.winticket.jp/keirin/kawasaki/racecard/2026081934/1/3,2026-08-19T06:59:03+09:00
2026-08-19,四日市,3,034820260819,1787125680,1787125380,https://www.winticket.jp/keirin/yokkaichi/racecard/2026081748/3/3,2026-08-19T06:59:03+09:00
2026-08-19,川崎,4,043420260819,1787126400,1787126100,https://www.winticket.jp/keirin/kawasaki/racecard/2026081934/1/4,2026-08-19T06:59:03+09:00
2026-08-19,四日市,4,044820260819,1787127120,1787126820,https://www.winticket.jp/keirin/yokkaichi/racecard/2026081748/3/4,2026-08-19T06:59:03+09:00
2026-08-19,川崎,5,053420260819,1787127840,1787127540,https://www.winticket.jp/keirin/kawasaki/racecard/2026081934/1/5,2026-08-19T06:59:03+09:00
2026-08-19,四日市,5,054820260819,1787128560,1787128260,https://www.winticket.jp/keirin/yokkaichi/racecard/2026081748/3/5,2026-08-19T06:59:03+09:00
2026-08-19,川崎,6,063420260819,1787129280,1787128980,https://www.winticket.jp/keirin/kawasaki/racecard/2026081934/1/6,2026-08-19T06:59:03+09:00
2026-08-19,四日市,6,064820260819,1787130000,1787129700,https://www.winticket.jp/keirin/yokkaichi/racecard/2026081748/3/6,2026-08-19T06:59:03+09:00
2026-08-19,川崎,7,073420260819,1787130720,1787130420,https://www.winticket.jp/keirin/kawasaki/racecard/2026081934/1/7,2026-08-19T06:59:03+09:00
2026-08-19,四日市,7,074820260819,1787131440,1787131140,https://www.winticket.jp/keirin/yokkaichi/racecard/2026081748/3/7,2026-08-19T06:59:03+09:00
2026-08-19,川崎,8,083420260819,1787132160,1787131860,https://www.winticket.jp/keirin/kawasaki/racecard/2026081934/1/8,2026-08-19T06:59:03+09:00
2026-08-19,四日市,8,084820260819,1787132880,1787132580,https://www.winticket.jp/keirin/yokkaichi/racecard/2026081748/3/8,2026-08-19T06:59:03+09:00
2026-08-19,川崎,9,093420260819,1787133600,1787133300,https://www.winticket.jp/keirin/kawasaki/racecard/2026081934/1/9,2026-08-19T06:59:03+09:00
2026-08-19,四日市,9,094820260819,1787134320,1787134020,https://www.winticket.jp/keirin/yokkaichi/racecard/2026081748/3/9,2026-08-19T06:59:03+09:00
2026-08-19,川崎,10,103420260819,1787135100,1787134800,https://www.winticket.jp/keirin/kawasaki/racecard/2026081934/1/10,2026-08-19T06:59:03+09:00
2026-08-19,四日市,10,104820260819,1787135880,1787135580,https://www.winticket.jp/keirin/yokkaichi/racecard/2026081748/3/10,2026-08-19T06:59:03+09:00
2026-08-19,川崎,11,113420260819,1787136660,1787136360,https://www.winticket.jp/keirin/kawasaki/racecard/2026081934/1/11,2026-08-19T06:59:03+09:00
2026-08-19,四日市,11,114820260819,1787137440,1787137140,https://www.winticket.jp/keirin/yokkaichi/racecard/2026081748/3/11,2026-08-19T06:59:03+09:00
2026-08-19,川崎,12,123420260819,1787138220,1787137920,https://www.winticket.jp/keirin/kawasaki/racecard/2026081934/1/12,2026-08-19T06:59:03+09:00
2026-08-19,四日市,12,124820260819,1787139000,1787138700,https://www.winticket.jp/keirin/yokkaichi/racecard/2026081748/3/12,2026-08-19T06:59:03+09:00
2026-08-19,弥彦,1,012120260819,1787139600,1787139300,https://www.winticket.jp/keirin/yahiko/racecard/2026081821/2/1,2026-08-19T06:59:03+09:00
2026-08-19,佐世保,1,018520260819,1787140200,1787139900,https://www.winticket.jp/keirin/sasebo/racecard/2026081885/2/1,2026-08-19T06:59:03+09:00
2026-08-19,弥彦,2,022120260819,1787140800,1787140500,https://www.winticket.jp/keirin/yahiko/racecard/2026081821/2/2,2026-08-19T06:59:03+09:00
2026-08-19,佐世保,2,028520260819,1787141400,1787141100,https://www.winticket.jp/keirin/sasebo/racecard/2026081885/2/2,2026-08-19T06:59:03+09:00
2026-08-19,弥彦,3,032120260819,1787142000,1787141700,https://www.winticket.jp/keirin/yahiko/racecard/2026081821/2/3,2026-08-19T06:59:03+09:00
2026-08-19,佐世保,3,038520260819,1787142600,1787142300,https://www.winticket.jp/keirin/sasebo/racecard/2026081885/2/3,2026-08-19T06:59:03+09:00
2026-08-19,弥彦,4,042120260819,1787143200,1787142900,https://www.winticket.jp/keirin/yahiko/racecard/2026081821/2/4,2026-08-19T06:59:03+09:00
2026-08-19,佐世保,4,048520260819,1787143800,1787143500,https://www.winticket.jp/keirin/sasebo/racecard/2026081885/2/4,2026-08-19T06:59:03+09:00
2026-08-19,弥彦,5,052120260819,1787144400,1787144100,https://www.winticket.jp/keirin/yahiko/racecard/2026081821/2/5,2026-08-19T06:59:03+09:00
2026-08-19,佐世保,5,058520260819,1787145000,1787144700,https://www.winticket.jp/keirin/sasebo/racecard/2026081885/2/5,2026-08-19T06:59:03+09:00
2026-08-19,弥彦,6,062120260819,1787145600,1787145300,https://www.winticket.jp/keirin/yahiko/racecard/2026081821/2/6,2026-08-19T06:59:03+09:00
2026-08-19,佐世保,6,068520260819,1787146200,1787145900,https://www.winticket.jp/keirin/sasebo/racecard/2026081885/2/6,2026-08-19T06:59:03+09:00
2026-08-19,弥彦,7,072120260819,1787146800,1787146500,https://www.winticket.jp/keirin/yahiko/racecard/2026081821/2/7,2026-08-19T06:59:03+09:00
2026-08-19,佐世保,7,078520260819,1787147400,1787147100,https://www.winticket.jp/keirin/sasebo/racecard/2026081885/2/7,2026-08-19T06:59:03+09:00
2026-08-19,弥彦,8,082120260819,1787148000,1787147700,https://www.winticket.jp/keirin/yahiko/racecard/2026081821/2/8,2026-08-19T06:59:03+09:00
2026-08-19,佐世保,8,088520260819,1787148600,1787148300,https://www.winticket.jp/keirin/sasebo/racecard/2026081885/2/8,2026-08-19T06:59:03+09:00
2026-08-19,弥彦,9,092120260819,1787149200,1787148900,https://www.winticket.jp/keirin/yahiko/racecard/2026081821/2/9,2026-08-19T06:59:03+09:00
2026-08-19,佐世保,9,098520260819,1787149800,1787149500,https://www.winticket.jp/keirin/sasebo/racecard/2026081885/2/9,2026-08-19T06:59:03+09:00
