date,venue,race_no,race_id,candidate_rank,buy,trifecta_prob_approx,trifecta_odds,stake_yen,trifecta_return_yen,trifecta_profit_yen,loss_amount_yen,expected_profit_yen
2026-06-30,佐世保,5,058520260630,8,1-5-2,0.01080530728878405,87.9,100,8790,8690,100,-5
2026-06-30,佐世保,6,068520260630,1,1-4-2,0.04028396071967351,20.4,100,2040,1940,100,-18
2026-06-30,佐世保,6,068520260630,2,1-4-3,0.04028396071967351,58.2,100,5820,5720,100,134
2026-06-30,佐世保,6,068520260630,3,1-2-4,0.03854673988360401,8.8,100,880,780,100,-66
2026-06-30,佐世保,6,068520260630,4,1-3-4,0.03854673988360401,87.3,100,8730,8630,100,237
2026-06-30,佐世保,6,068520260630,5,1-2-3,0.03358527831442725,19.6,100,1960,1860,100,-34
2026-06-30,佐世保,6,068520260630,6,1-3-2,0.03358527831442725,62.8,100,6280,6180,100,111
2026-06-30,佐世保,6,068520260630,7,4-1-2,0.022656729158335914,65.5,100,6550,6450,100,48
2026-06-30,佐世保,6,068520260630,8,4-1-3,0.022656729158335914,157.2,100,15720,15620,100,256
2026-06-30,佐世保,7,078520260630,1,1-3-5,0.025320246768142176,55.5,100,5550,5450,100,41
2026-06-30,佐世保,7,078520260630,2,1-5-3,0.025320246768142176,77.2,100,7720,7620,100,95
2026-06-30,佐世保,7,078520260630,3,3-1-5,0.023705084954428617,62.4,100,6240,6140,100,48
2026-06-30,佐世保,7,078520260630,4,5-1-3,0.023705084954428617,120.8,100,12080,11980,100,186
2026-06-30,佐世保,7,078520260630,5,3-5-1,0.021680633645921363,91.3,100,9130,9030,100,98
2026-06-30,佐世保,7,078520260630,6,5-3-1,0.021680633645921363,110.1,100,11010,10910,100,139
2026-06-30,佐世保,7,078520260630,7,1-3-2,0.010785428449972465,19.6,100,1960,1860,100,-79
2026-06-30,佐世保,7,078520260630,8,1-3-4,0.010785428449972465,66.9,100,6690,6590,100,-28
2026-06-30,取手,1,012320260630,1,2-1-3,0.02430183241469051,539.6,100,53960,53860,100,1211
2026-06-30,取手,1,012320260630,2,2-1-4,0.02430183241469051,324.6,100,32460,32360,100,689
2026-06-30,取手,1,012320260630,3,2-1-5,0.024177207633076712,746.7,100,74670,74570,100,1705
2026-06-30,取手,1,012320260630,4,2-1-7,0.024177207633076712,889.0,100,88900,88800,100,2049
2026-06-30,取手,1,012320260630,5,1-2-3,0.02356527218676897,154.6,100,15460,15360,100,264
2026-06-30,取手,1,012320260630,6,1-2-4,0.02356527218676897,107.9,100,10790,10690,100,154
2026-06-30,取手,1,012320260630,7,1-2-5,0.023444424637093234,249.2,100,24920,24820,100,484
2026-06-30,取手,1,012320260630,8,1-2-7,0.023444424637093234,330.7,100,33070,32970,100,675
2026-06-30,取手,2,022320260630,1,1-8-5,0.016350886761902227,30.3,100,3030,2930,100,-50
2026-06-30,取手,2,022320260630,2,1-8-7,0.016350886761902227,43.0,100,4300,4200,100,-30
2026-06-30,取手,2,022320260630,3,1-8-2,0.016267036060559136,36.9,100,3690,3590,100,-40
2026-06-30,取手,2,022320260630,4,1-8-6,0.016267036060559136,169.1,100,16910,16810,100,175
2026-06-30,取手,2,022320260630,5,1-5-8,0.01624318272095062,28.9,100,2890,2790,100,-53
2026-06-30,取手,2,022320260630,6,1-7-8,0.01624318272095062,81.7,100,8170,8070,100,33
2026-06-30,取手,2,022320260630,7,1-2-8,0.016139276533424677,55.8,100,5580,5480,100,-10
2026-06-30,取手,2,022320260630,8,1-6-8,0.016139276533424677,437.4,100,43740,43640,100,606
2026-06-30,取手,3,032320260630,1,1-2-7,0.008057573679063018,1301.1,100,130110,130010,100,948
2026-06-30,取手,3,032320260630,2,1-7-2,0.008057573679063018,1548.9,100,154890,154790,100,1148
2026-06-30,取手,3,032320260630,3,2-1-7,0.008057573679063018,1430.6,100,143060,142960,100,1053
2026-06-30,取手,3,032320260630,4,2-7-1,0.008057573679063018,1693.2,100,169320,169220,100,1264
2026-06-30,取手,3,032320260630,5,7-1-2,0.008057573679063018,2013.1,100,201310,201210,100,1522
2026-06-30,取手,3,032320260630,6,7-2-1,0.008057573679063018,1823.1,100,182310,182210,100,1369
2026-06-30,取手,3,032320260630,7,1-2-9,0.007398317650776044,1099.7,100,109970,109870,100,714
2026-06-30,取手,3,032320260630,8,1-7-9,0.007398317650776044,874.1,100,87410,87310,100,547
2026-06-30,取手,4,042320260630,1,1-5-7,0.010841549311075121,127.0,100,12700,12600,100,38
2026-06-30,取手,4,042320260630,2,5-1-7,0.010841549311075121,192.8,100,19280,19180,100,109
2026-06-30,取手,4,042320260630,3,1-7-5,0.010591624480771939,121.9,100,12190,12090,100,29
2026-06-30,取手,4,042320260630,4,5-7-1,0.010591624480771939,235.0,100,23500,23400,100,149
2026-06-30,取手,4,042320260630,5,7-1-5,0.010401132648911699,173.4,100,17340,17240,100,80
2026-06-30,取手,4,042320260630,6,7-5-1,0.010401132648911699,216.2,100,21620,21520,100,125
2026-06-30,取手,4,042320260630,7,1-5-3,0.005029584731942067,187.8,100,18780,18680,100,-6
2026-06-30,取手,4,042320260630,8,1-5-4,0.005029584731942067,176.5,100,17650,17550,100,-11
2026-06-30,取手,5,052320260630,1,1-5-7,0.013554950794674484,252.3,100,25230,25130,100,242
2026-06-30,取手,5,052320260630,2,1-5-9,0.013554950794674484,147.0,100,14700,14600,100,99
2026-06-30,取手,5,052320260630,3,1-7-5,0.013554950794674484,123.5,100,12350,12250,100,67
2026-06-30,取手,5,052320260630,4,1-7-9,0.013554950794674484,47.5,100,4750,4650,100,-36
2026-06-30,取手,5,052320260630,5,1-9-5,0.013554950794674484,44.5,100,4450,4350,100,-40
2026-06-30,取手,5,052320260630,6,1-9-7,0.013554950794674484,25.2,100,2520,2420,100,-66
2026-06-30,取手,5,052320260630,7,5-1-7,0.013554950794674484,434.4,100,43440,43340,100,489
2026-06-30,取手,5,052320260630,8,5-1-9,0.013554950794674484,251.4,100,25140,25040,100,241
2026-06-30,取手,6,062320260630,1,2-7-1,0.00874817723146454,270.8,100,27080,26980,100,137
2026-06-30,取手,6,062320260630,2,2-7-3,0.008522708746117514,694.6,100,69460,69360,100,492
2026-06-30,取手,6,062320260630,3,2-7-4,0.008522708746117514,1186.7,100,118670,118570,100,911
2026-06-30,取手,6,062320260630,4,2-7-5,0.008522708746117514,772.4,100,77240,77140,100,558
2026-06-30,取手,6,062320260630,5,2-7-8,0.008522708746117514,741.4,100,74140,74040,100,532
2026-06-30,取手,6,062320260630,6,7-2-1,0.008228454384731718,193.8,100,19380,19280,100,59
2026-06-30,取手,6,062320260630,7,7-2-3,0.008016380818114921,431.2,100,43120,43020,100,246
2026-06-30,取手,6,062320260630,8,7-2-4,0.008016380818114921,808.0,100,80800,80700,100,548
2026-06-30,取手,7,072320260630,1,2-7-6,0.012956636871011186,199.6,100,19960,19860,100,159
2026-06-30,取手,7,072320260630,2,2-6-7,0.012658137697522191,1020.9,100,102090,101990,100,1192
2026-06-30,取手,7,072320260630,3,7-2-6,0.01226494349719638,27.2,100,2720,2620,100,-67
2026-06-30,取手,7,072320260630,4,6-2-7,0.011778281836485766,1307.7,100,130770,130670,100,1440
2026-06-30,取手,7,072320260630,5,7-6-2,0.01118827361084509,62.3,100,6230,6130,100,-30
2026-06-30,取手,7,072320260630,6,6-7-2,0.010997701816238594,940.8,100,94080,93980,100,935
